CÓDIGO DE LA INSTITUCIÓN;IES_PADRE;INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);PRINCIPAL O SECCIONAL;ID SECTOR IES;SECTOR IES;ID CARACTER;CARACTER IES;CÓDIGO DEL DEPARTAMENTO (IES);DEPARTAMENTO DE DOMICILIO DE LA IES;CÓDIGO DEL MUNICIPIO IES;MUNICIPIO DE DOMICILIO DE LA IES;CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;ID NIVEL ACADÉMICO;NIVEL ACADÉMICO;ID NIVEL DE FORMACIÓN;NIVEL DE FORMACIÓN;ID METODOLOGÍA;METODOLOGÍA;ID ÁREA;ÁREA DE CONOCIMIENTO;ID NÚCLEO;NÚCLEO BÁSICO DEL CONOCIMIENTO (NBC);ID CINE CAMPO AMPLIO;DESC CINE CAMPO AMPLIO;ID CINE CAMPO ESPECIFICO;DESC CINE CAMPO ESPECIFICO;ID CINE CODIGO DETALLADO;DESC CINE CODIGO DETALLADO;CÓDIGO DEL DEPARTAMENTO (PROGRAMA);DEPARTAMENTO DE OFERTA DEL PROGRAMA;CÓDIGO DEL MUNICIPIO (PROGRAMA);MUNICIPIO DE OFERTA DEL PROGRAMA;ID SEXO;SEXO;AÑO;SEMESTRE;INSCRITOS;ADMITIDOS;NEOS;MATRICULADOS;GRADUADOS
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle Del Cauca;76001;Cali;1042;INGENIERIA DE SISTEMAS Y COMPUTACION;1;PREGRADO;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;827;Ingeniería de sistemas, telemática y afines;6;Tecnologías de la Información y la Comunicación (TIC);61;Tecnologías de la Información y la Comunicación (TIC);611;Uso de computadores;76;Valle Del Cauca;76001;Cali;1;Hombre;2021;1;34;33;31;183;4
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle Del Cauca;76001;Cali;1042;INGENIERIA DE SISTEMAS Y COMPUTACION;1;PREGRADO;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;827;Ingeniería de sistemas, telemática y afines;6;Tecnologías de la Información y la Comunicación (TIC);61;Tecnologías de la Información y la Comunicación (TIC);611;Uso de computadores;76;Valle Del Cauca;76001;Cali;1;Hombre;2021;2;29;28;21;178;15
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle Del Cauca;76001;Cali;1042;INGENIERIA DE SISTEMAS Y COMPUTACION;1;PREGRADO;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;827;Ingeniería de sistemas, telemática y afines;6;Tecnologías de la Información y la Comunicación (TIC);61;Tecnologías de la Información y la Comunicación (TIC);611;Uso de computadores;76;Valle Del Cauca;76001;Cali;2;Mujer;2021;1;5;5;4;26;0
1702;1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Seccional;2;PRIVADA;4;Universidad;76;Valle Del Cauca;76001;Cali;1042;INGENIERIA DE SISTEMAS Y COMPUTACION;1;PREGRADO;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;827;Ingeniería de sistemas, telemática y afines;6;Tecnologías de la Información y la Comunicación (TIC);61;Tecnologías de la Información y la Comunicación (TIC);611;Uso de computadores;76;Valle Del Cauca;76001;Cali;2;Mujer;2021;2;3;3;3;24;8
